rf,bt,svm,dt
0.32,0.28,0.22,0.34
0.28,0.36,0.28,0.44
0.26,0.3,0.16,0.42
0.22,0.26,0.24,0.26
0.24,0.2,0.2,0.28
0.2,0.22,0.2,0.32
0.34,0.28,0.28,0.26
0.24,0.24,0.24,0.22
0.26,0.3,0.24,0.38
0.26,0.22,0.2,0.26
