svm,rf,bt,dt,bdt
0.16,0.22,0.18,0.28,0.1
0.18,0.32,0.3,0.26,0.16
0.1,0.2,0.18,0.24,0.16
0.16,0.18,0.2,0.26,0.22
0.22,0.2,0.18,0.22,0.18
0.14,0.22,0.2,0.22,0.16
0.14,0.24,0.28,0.3,0.18
0.16,0.2,0.18,0.2,0.18
0.2,0.12,0.14,0.26,0.2
0.18,0.18,0.18,0.26,0.18
