bt,dt,rf,bdt
0.45,0.65,0.45,0.775
0.51,0.66,0.515,0.825
0.515,0.415,0.525,0.855
0.43,0.245,0.43,0.78
0.44,0.225,0.44,0.835
0.46,0.245,0.46,0.815
0.51,0.23,0.51,0.795
0.47,0.205,0.47,0.845
0.505,0.2,0.505,0.86
0.49,0.175,0.49,0.87
