bt,dt,svm,bdt,rf
0.18,0.2,0.06,0.04,0.14
0.24,0.26,0.14,0.22,0.24
0.22,0.32,0.1,0.18,0.22
0.2,0.22,0.08,0.1,0.22
0.14,0.18,0.06,0.14,0.14
0.2,0.24,0.08,0.1,0.2
0.2,0.2,0.12,0.1,0.18
0.14,0.2,0.16,0.22,0.14
0.16,0.2,0.14,0.18,0.16
0.08,0.16,0.12,0.16,0.12
