bdt,svm,bt,rf,dt
0.24,0.1,0.24,0.4,0.3
0.24,0.16,0.28,0.36,0.34
0.24,0.14,0.34,0.54,0.3
0.3,0.18,0.36,0.48,0.3
0.18,0.04,0.14,0.46,0.36
0.2,0.12,0.22,0.46,0.22
0.32,0.24,0.28,0.24,0.26
0.24,0.14,0.3,0.22,0.24
0.3,0.22,0.24,0.34,0.36
0.24,0.14,0.26,0.24,0.28
