bt,rf,dt,svm,bdt
0.2,0.24,0.2,0.06,0.06
0.36,0.3,0.28,0.1,0.08
0.34,0.34,0.42,0.08,0.12
0.34,0.32,0.36,0.06,0.12
0.1,0.1,0.3,0.02,0.04
0.2,0.24,0.28,0.06,0.16
0.36,0.44,0.4,0.06,0.12
0.34,0.3,0.34,0.08,0.16
0.3,0.28,0.32,0.1,0.08
0.26,0.24,0.26,0.06,0.14
