rf,bt,svm,dt
0.26,0.2,0.12,0.28
0.34,0.42,0.16,0.42
0.34,0.3,0.16,0.32
0.2,0.34,0.14,0.3
0.22,0.16,0.06,0.4
0.22,0.2,0.12,0.24
0.26,0.26,0.26,0.26
0.26,0.2,0.12,0.24
0.32,0.18,0.24,0.44
0.28,0.28,0.18,0.32
