bt,rf,dt,svm,bdt
0.2,0.26,0.22,0.06,0.04
0.36,0.38,0.26,0.06,0.14
0.3,0.36,0.46,0.08,0.14
0.32,0.36,0.3,0.06,0.1
0.1,0.14,0.14,0.06,0.0
0.26,0.2,0.14,0.06,0.16
0.4,0.36,0.36,0.06,0.12
0.34,0.32,0.26,0.08,0.12
0.3,0.24,0.32,0.1,0.08
0.26,0.28,0.2,0.12,0.06
