svm,dt,rf,bt
0.12,0.28,0.24,0.36
0.24,0.48,0.28,0.28
0.08,0.24,0.48,0.48
0.2,0.36,0.44,0.32
0.08,0.24,0.2,0.04
0.12,0.2,0.2,0.2
0.16,0.36,0.28,0.28
0.36,0.4,0.36,0.36
0.4,0.48,0.28,0.44
0.24,0.32,0.24,0.28
