rf,bt,svm,dt
0.3,0.2,0.12,0.3
0.24,0.28,0.16,0.34
0.32,0.34,0.18,0.3
0.2,0.36,0.18,0.3
0.22,0.06,0.04,0.34
0.26,0.12,0.12,0.24
0.32,0.3,0.26,0.26
0.28,0.18,0.2,0.24
0.36,0.28,0.22,0.36
0.3,0.18,0.12,0.28
