dt,rf,svm,bt
0.52,0.52,0.12,0.52
0.6,0.56,0.24,0.6
0.4,0.48,0.08,0.48
0.36,0.36,0.2,0.36
0.44,0.4,0.08,0.36
0.4,0.44,0.12,0.4
0.56,0.56,0.16,0.56
0.52,0.52,0.36,0.52
0.68,0.68,0.4,0.68
0.2,0.2,0.16,0.2
