bt,rf,dt,svm,bdt
0.32,0.32,0.28,0.04,0.08
0.24,0.24,0.28,0.04,0.12
0.24,0.2,0.2,0.04,0.16
0.48,0.48,0.36,0.08,0.16
0.36,0.36,0.28,0.12,0.16
0.36,0.36,0.32,0.16,0.12
0.28,0.36,0.36,0.04,0.2
0.32,0.32,0.28,0.08,0.08
0.08,0.08,0.16,0.08,0.04
0.2,0.16,0.2,0.08,0.12
