dt,bt,rf,bdt
0.655,0.445,0.44,0.69
0.56,0.51,0.515,0.73
0.415,0.525,0.51,0.76
0.315,0.43,0.43,0.635
0.36,0.44,0.44,0.675
0.275,0.46,0.46,0.675
0.38,0.51,0.51,0.7
0.285,0.47,0.47,0.665
0.245,0.505,0.505,0.69
0.345,0.49,0.49,0.715
