bt,dt,rf,bdt
0.43,0.61,0.45,0.39
0.48,0.625,0.515,0.525
0.49,0.365,0.52,0.43
0.43,0.185,0.43,0.485
0.44,0.145,0.44,0.475
0.46,0.195,0.46,0.525
0.52,0.17,0.51,0.555
0.475,0.16,0.47,0.755
0.51,0.17,0.505,0.55
0.49,0.145,0.49,0.51
