bt,dt,svm,bdt,rf
0.16,0.12,0.06,0.06,0.16
0.22,0.3,0.1,0.14,0.18
0.22,0.32,0.1,0.12,0.28
0.2,0.22,0.08,0.08,0.2
0.1,0.18,0.06,0.08,0.14
0.2,0.18,0.1,0.12,0.2
0.2,0.22,0.06,0.12,0.22
0.16,0.24,0.1,0.14,0.14
0.16,0.22,0.08,0.12,0.18
0.1,0.12,0.06,0.14,0.12
