svm,dt,rf,bt,bdt
0.1,0.3,0.48,0.48,0.48
0.14,0.34,0.42,0.42,0.42
0.16,0.3,0.44,0.44,1.0
0.2,0.3,0.46,0.46,0.98
0.08,0.36,0.7,0.7,0.7
0.16,0.22,0.54,0.54,0.54
0.26,0.26,0.38,0.38,0.4
0.14,0.24,0.44,0.44,1.0
0.2,0.36,0.5,0.5,1.0
0.14,0.28,0.58,0.58,0.58
