dt,svm,rf,bdt,bt
0.16,0.4,0.24,0.08,0.16
0.16,0.6,0.04,0.12,0.16
0.12,0.48,0.16,0.08,0.12
0.36,0.44,0.28,0.2,0.28
0.28,0.56,0.32,0.04,0.2
0.4,0.56,0.12,0.16,0.32
0.32,0.44,0.24,0.2,0.2
0.24,0.52,0.04,0.16,0.24
0.16,0.72,0.28,0.04,0.08
0.12,0.72,0.12,0.08,0.08
