bdt,bt,rf
0.39,0.44,0.45
0.53,0.485,0.51
0.43,0.5,0.51
0.485,0.43,0.43
0.475,0.44,0.44
0.525,0.46,0.46
0.555,0.51,0.51
0.755,0.475,0.47
0.55,0.51,0.505
0.51,0.49,0.49
