bdt,rf,bt,svm,dt
0.06,0.08,0.16,0.06,0.12
0.14,0.24,0.26,0.1,0.32
0.16,0.18,0.22,0.08,0.34
0.08,0.2,0.24,0.12,0.22
0.08,0.1,0.14,0.06,0.16
0.12,0.12,0.2,0.06,0.18
0.14,0.24,0.22,0.06,0.22
0.14,0.16,0.16,0.08,0.24
0.12,0.12,0.16,0.1,0.22
0.12,0.16,0.12,0.06,0.12
