bt,dt,rf,svm,bdt
0.26,0.2,0.22,0.06,0.06
0.28,0.3,0.36,0.1,0.14
0.34,0.34,0.38,0.08,0.08
0.32,0.32,0.34,0.08,0.14
0.12,0.12,0.16,0.06,0.1
0.12,0.2,0.24,0.06,0.2
0.42,0.34,0.4,0.06,0.12
0.32,0.28,0.28,0.1,0.12
0.32,0.32,0.3,0.12,0.08
0.26,0.48,0.22,0.08,0.1
