bt,dt,rf
0.2,0.205,0.195
0.14,0.18,0.15
0.11,0.18,0.12
0.125,0.245,0.145
0.14,0.195,0.135
0.19,0.275,0.19
0.175,0.21,0.17
0.215,0.215,0.235
0.145,0.19,0.18
0.205,0.245,0.195
