bt,svm,bdt,rf,dt
0.16,0.06,0.08,0.08,0.12
0.22,0.1,0.14,0.16,0.3
0.24,0.08,0.12,0.24,0.32
0.22,0.08,0.12,0.16,0.22
0.14,0.06,0.08,0.1,0.18
0.22,0.08,0.18,0.16,0.18
0.24,0.06,0.12,0.2,0.22
0.16,0.08,0.14,0.16,0.24
0.14,0.08,0.12,0.1,0.22
0.1,0.06,0.12,0.14,0.12
