bt,dt,svm,bdt,rf
0.18,0.28,0.16,0.1,0.2
0.26,0.26,0.18,0.22,0.28
0.2,0.24,0.12,0.14,0.2
0.16,0.26,0.16,0.18,0.18
0.18,0.22,0.2,0.14,0.2
0.2,0.22,0.14,0.1,0.22
0.24,0.3,0.18,0.2,0.24
0.2,0.2,0.16,0.26,0.18
0.14,0.26,0.2,0.24,0.12
0.22,0.26,0.18,0.14,0.18
