bt,dt,rf,bdt
0.265,0.575,0.385,0.135
0.42,0.595,0.48,0.305
0.42,0.38,0.5,0.415
0.43,0.13,0.43,0.48
0.44,0.195,0.44,0.46
0.465,0.205,0.46,0.495
0.515,0.155,0.51,0.56
0.485,0.17,0.47,0.47
0.515,0.18,0.505,0.535
0.495,0.155,0.49,0.505
