rf,bt,svm,dt
0.26,0.22,0.14,0.28
0.36,0.34,0.2,0.48
0.32,0.28,0.12,0.28
0.2,0.32,0.22,0.28
0.24,0.04,0.1,0.4
0.24,0.16,0.14,0.22
0.36,0.32,0.3,0.26
0.24,0.2,0.16,0.18
0.38,0.32,0.16,0.44
0.26,0.28,0.2,0.32
