dt,bt,rf,bdt
0.665,0.435,0.425,0.75
0.665,0.51,0.505,0.735
0.455,0.52,0.505,0.725
0.345,0.43,0.43,0.61
0.245,0.44,0.44,0.64
0.31,0.46,0.46,0.695
0.325,0.51,0.51,0.725
0.24,0.47,0.47,0.675
0.275,0.505,0.505,0.695
0.25,0.49,0.49,0.69
