dt,bt,rf,bdt
0.615,0.435,0.435,0.68
0.645,0.515,0.495,0.78
0.47,0.52,0.515,0.775
0.275,0.43,0.43,0.66
0.245,0.44,0.44,0.625
0.285,0.46,0.46,0.645
0.3,0.51,0.51,0.745
0.315,0.47,0.47,0.695
0.29,0.505,0.505,0.72
0.2,0.49,0.49,0.73
