bt,dt,rf
0.21,0.205,0.195
0.15,0.18,0.16
0.115,0.18,0.13
0.145,0.245,0.145
0.135,0.195,0.16
0.175,0.275,0.2
0.18,0.21,0.185
0.2,0.215,0.22
0.155,0.19,0.145
0.215,0.245,0.215
