bdt,rf,bt,svm,dt
0.1,0.2,0.2,0.16,0.28
0.16,0.26,0.26,0.18,0.26
0.16,0.2,0.24,0.1,0.24
0.22,0.14,0.18,0.16,0.26
0.18,0.18,0.14,0.22,0.22
0.16,0.14,0.24,0.14,0.22
0.2,0.26,0.24,0.14,0.3
0.18,0.18,0.2,0.16,0.2
0.2,0.1,0.18,0.2,0.26
0.18,0.22,0.24,0.18,0.26
