rf,bt,dt,svm
0.32,0.26,0.3,0.12
0.28,0.28,0.34,0.16
0.28,0.32,0.3,0.12
0.22,0.32,0.3,0.16
0.24,0.2,0.34,0.08
0.3,0.22,0.24,0.12
0.3,0.26,0.26,0.24
0.24,0.16,0.24,0.14
0.32,0.3,0.36,0.22
0.3,0.26,0.28,0.14
