svm,dt,rf,bt,bdt
0.16,0.3,0.48,0.48,0.48
0.2,0.34,0.42,0.42,0.42
0.18,0.32,0.44,0.44,1.0
0.2,0.28,0.46,0.46,1.0
0.12,0.36,0.7,0.7,0.7
0.14,0.22,0.54,0.54,0.54
0.34,0.26,0.38,0.38,0.4
0.14,0.18,0.44,0.44,1.0
0.2,0.34,0.5,0.5,1.0
0.22,0.3,0.58,0.58,0.58
