bdt,rf,dt,svm,bt
0.06,0.16,0.12,0.06,0.14
0.14,0.2,0.3,0.08,0.22
0.16,0.22,0.34,0.06,0.24
0.08,0.22,0.22,0.08,0.18
0.08,0.16,0.16,0.04,0.16
0.12,0.22,0.18,0.06,0.2
0.12,0.18,0.22,0.06,0.18
0.14,0.16,0.24,0.08,0.12
0.12,0.16,0.22,0.1,0.18
0.14,0.14,0.12,0.06,0.12
