dt,svm,rf,bt,bdt
0.2,0.06,0.14,0.14,0.04
0.26,0.14,0.2,0.26,0.22
0.32,0.1,0.32,0.24,0.18
0.22,0.08,0.1,0.18,0.1
0.16,0.06,0.08,0.18,0.14
0.24,0.08,0.14,0.18,0.1
0.2,0.12,0.26,0.18,0.1
0.2,0.16,0.14,0.14,0.22
0.2,0.14,0.1,0.16,0.18
0.16,0.12,0.14,0.14,0.16
