dt,svm,rf,bt,bdt
0.28,0.16,0.18,0.2,0.12
0.26,0.18,0.28,0.32,0.26
0.24,0.1,0.2,0.22,0.18
0.26,0.16,0.18,0.2,0.12
0.22,0.2,0.18,0.18,0.16
0.22,0.14,0.14,0.2,0.22
0.3,0.16,0.26,0.26,0.18
0.2,0.16,0.22,0.2,0.18
0.26,0.18,0.12,0.12,0.24
0.26,0.18,0.18,0.24,0.18
