bdt,rf,bt,svm,dt
0.06,0.08,0.16,0.06,0.12
0.14,0.1,0.18,0.1,0.32
0.16,0.28,0.22,0.06,0.34
0.08,0.12,0.2,0.06,0.22
0.08,0.12,0.16,0.06,0.16
0.12,0.2,0.22,0.06,0.18
0.14,0.3,0.2,0.1,0.22
0.14,0.24,0.16,0.12,0.24
0.12,0.24,0.16,0.1,0.22
0.12,0.1,0.14,0.08,0.12
