svm,rf,bt,dt,bdt
0.06,0.2,0.14,0.2,0.06
0.14,0.22,0.24,0.26,0.22
0.08,0.28,0.22,0.32,0.22
0.06,0.22,0.22,0.22,0.1
0.06,0.18,0.14,0.18,0.14
0.06,0.22,0.18,0.24,0.06
0.1,0.2,0.22,0.2,0.1
0.16,0.16,0.14,0.2,0.22
0.14,0.16,0.18,0.2,0.18
0.12,0.1,0.12,0.16,0.14
