svm,dt,rf,bt,bdt
0.2,0.36,0.48,0.48,0.48
0.24,0.52,0.42,0.42,0.44
0.16,0.36,0.44,0.46,1.0
0.24,0.3,0.46,0.46,1.0
0.18,0.4,0.7,0.7,0.74
0.16,0.3,0.54,0.54,0.54
0.3,0.3,0.38,0.38,0.58
0.24,0.22,0.44,0.44,1.0
0.18,0.34,0.5,0.5,1.0
0.22,0.28,0.58,0.58,0.58
