bt,dt,svm,bdt,rf
0.16,0.12,0.06,0.06,0.12
0.22,0.3,0.1,0.14,0.22
0.24,0.32,0.1,0.12,0.24
0.22,0.22,0.08,0.08,0.24
0.16,0.18,0.06,0.08,0.16
0.18,0.18,0.06,0.12,0.18
0.2,0.22,0.06,0.12,0.18
0.14,0.24,0.08,0.14,0.16
0.16,0.22,0.1,0.12,0.18
0.1,0.12,0.04,0.14,0.08
