bt,dt,rf
0.205,0.205,0.205
0.145,0.18,0.165
0.11,0.18,0.125
0.15,0.245,0.14
0.125,0.195,0.13
0.195,0.275,0.175
0.14,0.21,0.16
0.23,0.215,0.205
0.185,0.19,0.14
0.19,0.245,0.195
