svm,rf,dt,bt
0.1,0.36,0.28,0.22
0.16,0.34,0.42,0.36
0.12,0.3,0.32,0.34
0.16,0.22,0.3,0.36
0.06,0.28,0.4,0.16
0.14,0.2,0.24,0.2
0.22,0.34,0.26,0.28
0.12,0.28,0.24,0.3
0.2,0.32,0.44,0.18
0.14,0.28,0.34,0.22
