bt,dt,svm,rf
0.2,0.28,0.12,0.24
0.3,0.42,0.16,0.3
0.32,0.32,0.22,0.28
0.32,0.3,0.18,0.22
0.14,0.4,0.08,0.24
0.2,0.24,0.12,0.3
0.34,0.26,0.22,0.34
0.2,0.24,0.14,0.24
0.3,0.44,0.22,0.3
0.26,0.34,0.14,0.26
